Company,tax years
PG&E Corp.,8
AGL Resources,2
Pepco Holdings,7
Constellation Brands,2
Wisconsin Energy,7
Domtar,2
NiSource,7
Fifth Third Bancorp,2
Duke Energy,7
Public Service Enterprise Group,2
FirstEnergy,6
Southwest Airlines,2
Atmos Energy,6
Principal Financial,2
NextEra Energy,6
Devon Energy,2
Priceline.com,5
MDU Resources,2
PPL,5
FedEx,2
Ameren,5
PNC Financial Services Group,2
Boeing,5
Air Products & Chemicals,2
Ryder System,5
Spectra Energy,2
Sempra Energy,5
Time Warner,2
CMS Energy,5
SpartanNash,2
Reinsurance Group of America,4
HollyFrontier,1
American Electric Power,4
Phillips-Van Heusen,1
Interpublic Group,4
Eli Lilly,1
Consolidated Edison,4
Sonic Automotive,1
Xcel Energy,4
Eastman Chemical,1
Dominion Resources,4
Insight Enterprises,1
Cablevision Systems,4
Texas Instruments,1
Corning,4
Health Net,1
International Paper,3
Yum Brands,1
General Electric,3
Pitney Bowes,1
Facebook,3
Group1 Automotive,1
State Street Corp.,3
Wells Fargo,1
Trinity Industries,3
Goldman Sachs Group,1
R.R. Donnelley & Sons,3
Travelers Cos.,1
Verizon Communications,3
Darden Restaurants,1
DTE Energy,3
Community Health Systems,1
Oneok,3
Andersons,1
Qualcomm,3
Capital One Financial,1
Westrock,3
DuPont,1
Eversource Energy,3
J.P. Morgan Chase & Co.,1
Williams,3
Mosaic,1
Paccar,2
Scana,1
Exxon Mobil,2
Time Warner Cable,1
Windstream,2
Reliance Steel & Aluminum,1
Honeywell International,2
McKesson,1
Entergy,2
UGI,1
Netflix,2
HCA Holdings,1
CBS,2
International Business Machines,1
CenturyLink,1
Harris,1
Southern,1
Danaher,1
Casey's General Stores,1
Alliance Data Systems,1
Rockwell Automation,1
Arthur Gallagher,1
Praxair,1
Merck,1
DISH Network,1
ABM Industries,1
AT&T,1
Deere,1
