Company (ranked by job cuts),Company Profit ($mil),Company federal taxes ($mil),Company effective tax rate (%),Number of employees at end of 2016 (#),Change in employees (#) 2008-2016,% change 2008-2016 (adjusted),CEO compensation 2016 ($),CEO compensation % change 2008-2016
AT&T,141624,11500,8.1,268000,-79450,-23,28433716,146
Verizon,81518,7401,9.1,160900,-78450,-33,17674579,-5
ExxonMobil,60482,8227,13.6,72700,-37735,-34,27393567,22
United Technologies,24421,2546,10.4,201600,-37000,-16,15831335,-12
JPMorgan Chase,114770,17956,15.6,243000,-26961,-10,27236892,39
21st Century Fox,39722,6273,15.8,21500,-20100,-48,34590450,74
General Electric,40057,-1369,-3.4,104000,-15957,-13,17962122,27
L-3 Communications,7614,1462,19.2,38000,-14800,-28,15249760,52
IBM,64728,4849,7.5,414400,-12969,-3,32695699,15
Wells Fargo,185025,33331,18.0,269100,-12800,-5,13014714,-6
CenturyLink,8607,725,8.4,40000,-12040,-23,13966214,17
Honeywell International,16520,2461,14.9,45000,-12000,-21,21261501,-30
International Paper,5010,-386,-7.7,36000,-10900,-23,13300308,127
DuPont,8678,1602,18.5,46000,-10000,-18,11006644,32
Boeing,40027,2147,5.4,150500,-8800,-6,15066290,-21
Cablevision Systems,2455,9,0.4,14177,-8758,-38,18332950,36
PNC Financial Services,32953,2725,8.3,52006,-8678,-14,13141460,-10
CBS,13045,699,5.4,15550,-8420,-35,69550657,118
CSX,21007,3531,16.8,27000,-8000,-23,13580104,10
DISH Network,11458,1554,13.6,16000,-7000,-30,1656833,-38
Eli Lilly,15117,2571,17.0,18860,-5640,-23,18367133,42
Consol Energy,3550,545,15.3,2307,-5421,-70,10772740,31
American Electric Power,17170,-464,-2.7,17634,-3227,-15,11472740,185
FirstEnergy,8842,-465,-5.3,15707,-2798,-15,14117391,5
Ball,1953,355,18.2,8320,-2780,-25,11189233,38
Norfolk Southern,20456,4070,19.9,28044,-2762,-9,8425074,-41
Air Products & Chemicals,4117,439,10.7,6800,-2700,-28,11535833,-31
Loews,11055,1276,11.5,6700,-2700,-29,5993409,-15
MDU Resources,2954,277,9.4,9598,-2695,-22,3510991,26
Joy Global,3474,633,18.2,3100,-2600,-46,5431029,23
ABM Industries,696,84,12.1,110000,-2500,-2,3837985,37
Travelers,30729,5871,19.1,30900,-2400,-7,11558119,-21
Oneok,3976,49,1.2,2384,-2171,-48,4690792,-29
Praxair,6142,1036,16.9,10182,-1836,-15,13037062,24
Principal Financial,7790,514,6.6,14854,-1731,-10,8970708,115
NextEra Energy,21518,-313,-1.5,8900,-1600,-15,16758771,45
Sonic Automotive,800,138,17.2,9800,-1600,-14,4834563,138
Rockwell Collins,6315,1134,18.0,19000,-1300,-6,7587840,3
Trinity Industries,4122,594,14.4,8350,-1110,-12,7655393,-10
Time Warner,31048,4147,13.4,25000,-1100,-4,32614304,64
Entergy,12462,824,6.6,13513,-787,-6,13478724,-1
Celanese,2857,326,11.4,2600,-600,-19,9261406,92
Ameren,7243,-48,-0.7,8629,-440,-5,6638656,32
Consolidated Edison,12329,103,0.8,14960,-254,-2,14802404,102
Eastman Chemical,5134,723,14.1,14000,-200,-1,11398067,83
CMS Energy,4666,-26,-0.6,7699,-199,-3,3482555,-41
Atmos Energy,2826,-114,-4.0,4747,-3,0,8700817,20
Duke Energy,19767,-422,-2.1,28798,-2,0,13793594,118
Devon Energy,21692,368,1.7,5000,0,0,8771358,-47
Andersons,796,135,17.0,2998,45,2,3916330,152
Southern,24587,2036,8.3,32015,70,0,15829652,65
Scana,5275,808,15.3,5910,207,4,6108804,-10
Eversource Energy,6703,-11,-0.2,11872,284,2,6183262,-24
NiSource,4399,-352,-8.0,8007,400,5,4334158,63
Constellation Brands,5591,414,7.4,8700,500,6,9563166,141
